floor_id,floor_name,fk_building_id
1,Ground Floor,1
2,1st Floor,1
3,2nd Floor,1
4,3rd Floor,1
5,4th Floor,1
6,5th Floor,1
7,6th Floor,1
8,7th Floor,1
9,8th Floor,1
10,9th Floor,1
11,10th Floor,1
12,11th Floor,1
13,12th Floor,1
14,13th Floor,1
15,14th Floor,1
16,15th Floor,1
17,16th Floor,1
18,17th Floor,1
19,18th Floor,1
20,19th Floor,1
21,20th Floor,1
22,21st Floor,1
23,Ground Floor,2
24,1st Floor,2
25,2nd Floor,2
26,3rd Floor,2
27,4th Floor,2
28,5th Floor,2
29,6th Floor,2
30,7th Floor,2
31,8th Floor,2
32,9th Floor,2
33,Ground Floor,3
34,1st Floor,3
35,2nd Floor,3
36,3rd Floor,3
37,4th Floor,3
38,5th Floor,3
39,6th Floor,3
40,7th Floor,3
41,8th Floor,3
42,9th Floor,3
43,10th Floor,3
44,11th Floor,3
45,12th Floor,3
46,13th Floor,3 
